iter,train_loss,val_loss,gap
0,10.9384,10.9391,0.0007
500,2.3795,2.3992,0.0197
1000,1.7827,1.7889,0.0062
1500,1.6290,1.6461,0.0171
2000,1.5478,1.5661,0.0182
2500,1.4914,1.5149,0.0236
3000,1.4540,1.4767,0.0227
3500,1.4243,1.4486,0.0243
4000,1.3929,1.4222,0.0293
4500,1.3672,1.3913,0.0242
5000,1.3475,1.3757,0.0282
5500,1.3300,1.3584,0.0284
6000,1.3230,1.3483,0.0253
6500,1.3034,1.3325,0.0291
7000,1.2926,1.3257,0.0331
7500,1.2896,1.3186,0.0290
8000,1.2845,1.3226,0.0381
